lo,hi,sat,excl
0.66,1.1,0.94743508549715,0.40698486612339935
0.66,1.15,0.9493350221659278,0.38556461001164144
0.66,1.2,0.9506808106396454,0.3490104772991851
0.66,1.25,0.9512349588347055,0.3062863795110594
0.66,1.3,0.9514724509183027,0.2670547147846333
0.66,1.35,0.9515516149461685,0.2420256111757858
0.66,1.4,0.9515516149461685,0.23108265424912688
0.66,1.45,0.9517099430018999,0.22828870779976718
0.66,1.5,0.9517099430018999,0.22677532013969737
0.66,1.55,0.9518682710576314,0.22572759022118738
0.66,1.6,0.9524224192526916,0.2244470314318976
0.66,1.65,0.9532932235592146,0.2220023282887078
0.66,1.7,0.9548765041165295,0.22083818393480792
0.66,1.75,0.9560639645345155,0.219441210710128
0.66,1.8,0.957409753008233,0.21827706635622812
0.66,1.85,0.9594680177327423,0.21699650756693833
0.66,1.9,0.9623179227359088,0.21594877764842846
0.66,1.95,0.9667511082963901,0.21443538998835854
0.66,2.0,0.9697593413552882,0.21338766006984866
0.66,2.05,0.9731633945535149,0.21222351571594877
0.66,2.1,0.9759341355288157,0.2112922002328289
0.66,2.15,0.9791798606713109,0.21024447031431892
0.66,2.2,0.982188093730209,0.20919674039580904
0.66,2.25,0.9840880303989867,0.2084982537834692
