kind,lo,hi,sat,excl
two-sided,0.62,3.06,0.9953293223559214,0.17485448195576248
two-sided,0.62,3.08,0.9953293223559214,0.17462165308498256
two-sided,0.62,3.1,0.9954084863837872,0.17450523864959255
two-sided,0.62,3.12,0.9954084863837872,0.17438882421420254
two-sided,0.62,3.14,0.9954084863837872,0.17438882421420254
two-sided,0.62,3.16,0.995487650411653,0.17427240977881253
two-sided,0.62,3.18,0.995487650411653,0.17427240977881253
two-sided,0.62,3.2,0.995487650411653,0.17427240977881253
two-sided,0.62,3.22,0.995487650411653,0.17427240977881253
two-sided,0.62,3.24,0.995487650411653,0.17415599534342263
two-sided,0.62,3.26,0.9955668144395187,0.17415599534342263
