tau,sat,excl,S1,S2,S3,S4,S5
0.95,0.4390436985433819,0.6938300349243306,0.9522058823529411,0.9392446633825944,0.9648293963254593,0.008433734939759074,0.6048344718864951
0.955,0.39787840405319824,0.7038416763678697,0.9527310924369747,0.9458128078817734,0.9648293963254593,0.009036144578313254,0.6447714135575408
0.96,0.3552881570614313,0.7125727590221187,0.953781512605042,0.9523809523809523,0.9648293963254593,0.010843373493975905,0.6773515501839201
0.965,0.3125395820139329,0.7231664726426077,0.9553571428571429,0.958128078817734,0.9653543307086614,0.010843373493975905,0.719390436153442
0.97,0.279290690310323,0.7308498253783469,0.9558823529411765,0.9589490968801314,0.9658792650918635,0.012048192771084376,0.7514450867052023
0.975,0.24493350221659277,0.7391152502910361,0.9558823529411765,0.9614121510673235,0.9658792650918635,0.012048192771084376,0.7871781397792958
0.98,0.21057631412286257,0.7469150174621653,0.9574579831932774,0.964696223316913,0.9658792650918635,0.012650602409638556,0.8181818181818181
0.985,0.1815231158961368,0.7536670547147846,0.9574579831932774,0.9696223316912972,0.9658792650918635,0.014457831325301207,0.8439306358381503
0.99,0.15484483850538316,0.760186263096624,0.957983193277311,0.9712643678160919,0.9658792650918635,0.015060240963855387,0.8712559117183395
0.995,0.13236225459151363,0.7648428405122235,0.9585084033613446,0.9720853858784894,0.9658792650918635,0.016867469879518038,0.8896479243300053
1.0,0.11383787207093096,0.7689173457508731,0.9585084033613446,0.9737274220032841,0.9664041994750656,0.01746987951807233,0.905937992643195
