task,experiment,status,status_reason,formula,n_atoms,encut_ev,n_kpoints,candidate_id,role,pss,uma_bulk_modulus_gpa,relax_cell.energy_ev,relax_cell.energy_ev_per_atom,relax_cell.volume_a3,relax_cell.release_ev_per_atom,relax_cell.n_ionic_steps,relax_cell.converged,relax_cell.elapsed_s,relax_cell.close_ions_warning,static.energy_ev,static.energy_ev_per_atom,static.volume_a3,static.release_ev_per_atom,static.n_ionic_steps,static.converged,static.elapsed_s,static.close_ions_warning
E4-candidate_0460,E4,complete,,Re3Ir8,11,520.0,196,candidate_0460,control,-0.5566021394639371,366.3557230042426,-109.40480806,-9.94589164181818,160.56809435408516,0.001726472727271626,9,True,159.721,False,-109.40515549,-9.945923226363636,160.56809435408516,0.0,1,False,40.869,False
E4-candidate_0473,E4,complete,,B4OsW2,14,520.0,242,candidate_0473,control,0.392303338279108,319.97868424326595,-128.29022628,-9.163587591428572,141.0830014581826,0.1575727614285723,112,True,2345.763,False,-128.3038008,-9.1645572,141.0830014581826,0.0,1,False,45.066,False
E4-candidate_0477,E4,complete,,Ir5Os10Ru3,18,520.0,147,candidate_0477,priority,-0.48450397793244293,403.1658725607475,-184.6437716,-10.257987311111112,257.11892617862117,0.0008136300000008608,13,True,484.306,False,-184.65053698,-10.258363165555556,257.11892617862117,0.0,1,False,103.837,False
E4-candidate_0479,E4,complete,,Re3Os13,16,520.0,144,candidate_0479,control,-0.5287126331426486,394.4014253859223,-184.03994303,-11.502496439375,231.38005011905025,0.0010503118749998208,10,True,425.827,False,-184.06121103,-11.503825689375,231.38005011905025,0.0,1,False,97.483,False
E4-candidate_0482,E4,complete,,B6IrOs5,12,520.0,264,candidate_0482,control,0.3657254723053539,375.5055930922535,-105.08388128,-8.756990106666667,124.10670908392791,0.06559742166666638,32,True,536.045,False,-105.10032347,-8.758360289166667,124.10670908392791,0.0,1,False,33.126,False
E4-candidate_0484,E4,complete,,Re8Ir4W,13,520.0,154,candidate_0484,screened,-0.6497395950235363,344.06021127312863,-149.09912574,-11.469163518461539,194.53440268929933,0.003251185384615295,16,True,496.447,False,-149.09309643,-11.468699725384615,194.53440268929933,0.0,1,False,83.327,False
E4-candidate_0486,E4,complete,,Ir6Os5,11,520.0,192,candidate_0486,screened,-0.7085437544786457,347.3150100564409,-106.32668522,-9.666062292727274,167.88142797866624,0.008184536363636787,12,True,271.373,False,-106.33063356,-9.666421232727272,167.88142797866624,0.0,1,False,43.467,False
E4-candidate_0489,E4,complete,,ReIr2Os13,16,520.0,196,candidate_0489,priority,-0.5077194878597371,432.4214897942888,-175.19969904,-10.94998119,231.19972320141912,0.0024981781250001944,18,True,875.658,False,-175.21774538,-10.95110908625,231.19972320141912,0.0,1,False,116.314,False
E4-candidate_0492,E4,complete,,MoOs4,10,520.0,245,candidate_0492,priority,1.3140687730688385,410.26928409603397,-109.699838,-10.9699838,149.3516637766988,0.01122931900000026,14,True,316.293,False,-109.70038633,-10.970038633,149.3516637766988,0.0,1,False,49.429,False
E4-candidate_0493,E4,complete,,IrOs3,12,520.0,192,candidate_0493,priority,-0.49644311424115384,406.16752197663027,-126.64973767,-10.554144805833333,173.03182660749616,0.0014519108333329218,12,True,319.024,False,-126.66821428,-10.555684523333333,173.03182660749616,0.0,1,False,51.45,False
