cif_sha256,records,first_record_index,last_record_index,CLscore_A_min,CLscore_A_max,CLscore_B_min,CLscore_B_max,CLscore_jang_min,CLscore_jang_max,CLscore_A_range,CLscore_B_range,CLscore_jang_range
28a7a7720da08b2c668785a9ed0ced5c728acea9a7f6da7d5ecb3320d3babbb7,2,75234,349232,6e-06,6e-06,0.003074,0.003133,0.216695,0.216695,0.0,5.9000000000000025e-05,0.0
292e78111701fbd6ecb1e72299ec4757b952860170b20840afa474bb77c80765,2,220722,347689,0.0,0.0,0.001088,0.001116,0.073523,0.073523,0.0,2.800000000000003e-05,0.0
2bf25ee7eabe120303b0ae52cd101d2eda0c326888f11bfcaf4279649e73ecf1,2,19024,230181,0.0,0.0,0.003039,0.003154,0.002177,0.002177,0.0,0.00011500000000000008,0.0
2edc1628e31934016526ddd307fe29e41bea3d13263eb353db91493800f5b35a,2,33557,230173,0.0,0.0,0.002198,0.002207,0.015033,0.015033,0.0,9.000000000000327e-06,0.0
2fb74c67d58246f214bd6fae7520bf804a5ad353e3fedc7b3534665d90fe8b67,2,12921,218880,0.0,0.0,0.000298,0.000298,0.035421,0.035421,0.0,0.0,0.0
2fde54a06d0bea405e9c1c179b29afea1da68e3ec451c12d562b9d1d82639559,2,29461,142172,0.0,0.0,0.000289,0.000289,0.090077,0.090077,0.0,0.0,0.0
35982938801dbdd4ff152a15291eabe908cb3651a8bf5ac4a44932501c7257d4,2,20962,96525,4e-06,5e-06,0.002086,0.002099,0.278613,0.278613,1.0000000000000006e-06,1.299999999999999e-05,0.0
36a22c72e370d64796d5e64862ef9ec6248789f3898a6038a4a43ef9a35554e3,2,30574,165509,0.0,0.0,0.003853,0.003853,0.007709,0.007709,0.0,0.0,0.0
370067a0bbd4a70e6f095fcab9c81f6a5df2969f74a6fca254350f26c897abb9,2,45417,139045,0.0,0.0,0.002818,0.002818,0.655164,0.655164,0.0,0.0,0.0
37323e12df57079c74ff19f6c86a7f1dfd046cf4a0404ed31e241f058865b21d,2,142591,347665,0.0,0.0,0.000566,0.000568,0.028465,0.028465,0.0,2.0000000000000486e-06,0.0
39d57d56ae1687106d4523777fc5e873ebf16eb0cec305dc51c074bf937c3846,2,32618,68969,3e-06,3e-06,0.000436,0.000436,0.120007,0.120007,0.0,0.0,0.0
3e5dd7c2b3c3ea65beaec3bc16884b803af593e49fb49a3bd6e9eb78c26aec1e,2,21917,69240,4e-06,4e-06,0.003114,0.003223,0.021095,0.021095,0.0,0.00010900000000000016,0.0
42210c695b3573a6b8f985b23915de5faaca4d618e2626b88cf03ae5d19db730,2,36314,237522,3e-06,3e-06,0.002868,0.002875,0.11751,0.11751,0.0,7.000000000000062e-06,0.0
437c36a60aebdd46576240f4dedf251da32f02064bdf3d56acbbb3af259514d9,2,22160,233135,1e-06,1e-06,0.000758,0.000768,0.009271,0.009271,0.0,1.0000000000000026e-05,0.0
4430e9e0657fd2fa4b0ca1b5bcd86a54dfb2e520c207375cb964da7fe990aae1,2,26905,351290,4e-06,4e-06,0.002511,0.002511,0.111853,0.111853,0.0,0.0,0.0
460efe62716463682189ea971ad545eddf189345ad7d9c70ceb387eaec48f4b0,2,38013,170714,0.0,0.0,0.001059,0.001059,0.032353,0.032353,0.0,0.0,0.0
46aa663060d905e43189796171a49ddd8ad5397f53fde2f3b12925bacf07157e,2,48316,173826,4e-06,4e-06,0.004786,0.004786,0.198292,0.198292,0.0,0.0,0.0
47d07de764d70773fc4fec3f360c66326d54997100c98540907e55beb8698fc8,2,1115,83786,0.0,0.0,0.001049,0.001049,0.020839,0.020839,0.0,0.0,0.0
48a3d6b6941d86fe833cb6ced5a3e04ae35240e282d44c0320f794e28dd41c4a,2,147335,348714,0.0,0.0,0.001334,0.001335,0.013613,0.013613,0.0,1.0000000000001327e-06,0.0
49497d223822a69274543d19017211372483b7a17bf216724722b5d45b57aa58,2,1751,104406,1e-06,1e-06,0.00133,0.001336,0.327098,0.327098,0.0,5.999999999999929e-06,0.0
4adb70a83b8980f0eef1e5dfd80f6d04eb64dbbcaf990b5e105bcd25a1a0c45f,2,51051,98727,0.0,0.0,0.001632,0.001648,0.001332,0.001332,0.0,1.5999999999999955e-05,0.0
4ae801be04f6f383d080d8206a46919ba1670a7ef9ac76b84ae17c0489fb4476,2,28994,157061,0.0,0.0,0.00113,0.001153,0.094177,0.094177,0.0,2.3000000000000017e-05,0.0
5031e3e591b0960044f4260bf68badd7189fdf57dd999d198c9889ed33092c7c,2,32656,196495,0.0,0.0,0.003461,0.003461,0.000314,0.000314,0.0,0.0,0.0
52c5d0e336eebffca0a6536d254a9acd86c94f343c0ad998d50e442c09f7e9cf,2,15314,245341,5e-06,5e-06,0.00046,0.000461,0.11828,0.11828,0.0,9.9999999999997e-07,0.0
539c398a1da2f0b07542997779776b379e54c44be86dd61a89a10bea58edbb46,2,10755,73253,2e-06,2e-06,0.000522,0.000522,0.055853,0.055853,0.0,0.0,0.0
555a36b0ed503fac8b6b5fd182ee4ad19a065e09b2be0c23908f9c3ae75d613c,2,52983,190362,3e-06,3e-06,5.7e-05,5.8e-05,0.304287,0.304287,0.0,9.999999999999972e-07,0.0
5753a1763e936b708596748e74dd6ee1865d43a5d40daa69024deb7b2750c6a3,2,54380,212761,2e-06,2e-06,0.00031,0.000312,0.01735,0.01735,0.0,1.9999999999999944e-06,0.0
58ca6d2389d7acd1de81346231f0c21cbc173f2d229735db6e4028c9be7029e9,2,54530,69503,0.0,0.0,0.00378,0.003785,0.008587,0.008587,0.0,5.00000000000023e-06,0.0
5a5b687f4737c7c2caa0214d7ff17755413941cfb901c7c62e71f0a30548e2be,2,36982,57864,0.0,0.0,2.5e-05,2.5e-05,0.071304,0.071304,0.0,0.0,0.0
